Year,Principal offence,NSW,Vic.,Qld.,SA,WA,Tas.,NT,ACT
2019,01 Homicide and related offences,3.9,2.4,2.8,4.4,5.2,1.7,7.2,3.8
2019,02 Acts intended to cause injury,446.5,305.0,236.6,418.2,330.8,433.6,"1,282.8",184.4
2019,021 Assault,376.2,293.1,232.2,412.4,322.2,430.9,"1,277.0",177.9
2019,029 Other acts intended to cause injury,70.2,12.0,4.4,5.7,8.4,2.3,4.8,6.0
2019,,,,,,,,,
2019,03 Sexual assault and related offences,34.4,30.4,50.8,47.8,51.1,27.0,69.2,16.9
2019,031 Sexual assault,25.8,19.2,32.7,37.1,36.4,24.0,61.1,12.0
2019,032 NonÐassaultive sexual offences,8.5,11.4,18.1,10.9,14.7,4.0,8.1,4.9
2019,,,,,,,,,
2019,04 Dangerous/negligent acts,1.3,16.6,14.2,6.1,7.0,0.6,35.8,3.3
2019,,,,,,,,,
2019,05 Abduction/harassment,14.0,30.1,1.3,10.1,37.1,1.9,57.3,14.2
2019,,,,,,,,,
2019,06 Robbery/extortion,12.5,11.8,25.3,14.6,28.7,13.6,38.7,18.5
2019,,,,,,,,,
2019,07 Unlawful entry with intent,29.8,34.6,93.5,65.8,94.6,54.9,263.1,26.4
2019,,,,,,,,,
2019,08 Theft,153.5,151.0,283.9,190.2,226.7,156.5,152.8,65.1
2019,081 Motor vehicle theft,10.4,17.6,49.4,17.6,27.8,18.5,44.4,15.8
2019,082 Theft (except motor vehicles),123.9,120.6,205.2,78.3,172.9,120.8,1.4,42.2
2019,083 Receive or handle proceeds of crime,19.3,12.8,25.0,23.0,25.9,16.4,15.8,7.9
2019,,,,,,,,,
2019,Fare evasion,281.6,31.2,26.9,228.4,,,,
2019,,,,,,,,,
2019,09 Fraud/deception,59.5,44.5,55.1,24.0,89.5,57.4,44.9,21.5
2019,091 Obtain benefit by deception,49.6,34.4,46.0,13.1,46.6,39.1,43.0,16.9
2019,092 Forgery and counterfeiting,1.0,5.8,2.6,0.3,1.0,3.2,0.0,4.1
2019,093 Deceptive business/government practices,0.4,0.6,0.2,0.2,1.7,0.9,0.0,0.0
2019,099 Other fraud and deception offences,8.4,3.6,4.4,9.9,40.6,14.9,0.0,0.0
2019,,,,,,,,,
2019,10 Illicit drug offences,248.7,164.3,528.6,"1,007.1",381.4,240.8,653.8,96.4
2019,102 Deal or traffic in illicit drugs,41.0,38.0,40.9,49.7,66.6,57.6,202.0,19.1
2019,103 Manufacture or cultivate illicit drugs,12.7,19.1,34.7,50.1,34.6,32.1,2.9,6.5
